YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 04 24 04 00  39  2.0  2.3  0.19  4.76  4.08 999 9999.0   3.4   3.6 999.0 99.0 99.00
2006 04 24 05 00 180  0.1  0.4  0.00  0.00  0.00 999 9999.0   3.8   2.9 999.0 99.0 99.00
2006 04 24 06 00 178  1.8  2.5  0.00  0.00  0.00 999 9999.0   3.1   2.9 999.0 99.0 99.00
2006 04 24 07 00 194  2.2  2.5  0.00  0.00  0.00 999 9999.0   3.0   2.9 999.0 99.0 99.00
2006 04 24 08 00 228  2.1  2.3  0.00  0.00  0.00 999 9999.0   3.0   2.9 999.0 99.0 99.00
2006 04 24 09 00 234  3.1  3.3  0.00  0.00  0.00 999 9999.0   3.2   2.9 999.0 99.0 99.00
2006 04 24 10 00 246  3.3  3.6  0.00  0.00  0.00 999 1011.4   3.2   2.8 999.0 99.0 99.00
2006 04 24 11 00 250  5.1  5.7  0.17  4.35  3.61 999 1011.2   3.5   2.6 999.0 99.0 99.00
2006 04 24 12 00 259  7.2  8.3  0.00  0.00  0.00 999 1011.9   4.0   2.6 999.0 99.0 99.00
2006 04 24 13 00 267  5.8  7.2  0.33  2.56  2.76 999 1012.6   4.6   2.6 999.0 99.0 99.00
2006 04 24 14 00 295  4.3  5.0  0.41  3.03  3.02 999 1012.5   5.0   2.6 999.0 99.0 99.00
2006 04 24 15 00 332  2.9  3.4  0.46  3.45  3.19 999 1013.3   5.3   2.6 999.0 99.0 99.00
2006 04 24 16 00 253  6.2  7.1  0.42  3.45  3.23 999 1013.7   4.5   2.6 999.0 99.0 99.00
2006 04 24 17 00 280  5.3  5.8  0.44  3.45  3.29 999 1014.6   4.8   2.6 999.0 99.0 99.00
2006 04 24 18 00 316  7.5  9.0  0.57  3.57  3.39 999 1015.9   4.8   2.6 999.0 99.0 99.00
2006 04 24 19 00 345  9.7 11.2  0.87  3.70  3.59 999 1016.4   3.8   2.6 999.0 99.0 99.00
2006 04 24 20 00 352  8.4  9.8  0.81  4.17  3.64 999 1017.7   3.6   2.5 999.0 99.0 99.00
2006 04 24 21 00  17  4.2  5.2  0.91  4.55  3.77 999 1018.6   3.3   2.7 999.0 99.0 99.00
2006 04 24 22 00 344  9.4 11.5  0.82  4.17  3.80 999 1019.2   3.2   2.5 999.0 99.0 99.00
2006 04 24 23 00 337  8.0  9.7  1.06  4.00  3.79 999 1020.3   3.0   2.5 999.0 99.0 99.00
2006 04 25 00 00 344  7.6  9.0  1.24  4.55  4.08 999 1021.3   2.8   2.5 999.0 99.0 99.00
2006 04 25 01 00 360  1.3  1.7  1.03  4.55  4.03 999 1021.4   2.8   2.4 999.0 99.0 99.00
2006 04 25 02 00 180  0.1  0.2  0.84  4.55  3.97 999 1021.8   2.5   2.4 999.0 99.0 99.00
2006 04 25 03 00 212  0.9  1.2  0.65  4.00  3.73 999 1022.4   2.3   2.3 999.0 99.0 99.00
2006 04 25 04 00 252  2.6  3.1  0.51  3.70  3.76 999 1022.7   2.3   2.3 999.0 99.0 99.00
2006 04 25 05 00 260  3.0  4.2  0.49  4.00  3.82 999 1022.9   2.6   2.3 999.0 99.0 99.00
2006 04 25 06 00 266  3.1  3.7  0.48  4.76  4.03 999 1023.0   2.6   2.2 999.0 99.0 99.00
2006 04 25 07 00 281  2.9  3.3  0.44  4.17  4.10 999 1022.9   2.8   2.3 999.0 99.0 99.00
2006 04 25 08 00 300  4.2  4.9  0.41  5.56  4.26 999 1022.9   3.0   2.3 999.0 99.0 99.00
2006 04 25 09 00 309  5.5  6.3  0.37  5.00  4.24 999 1023.0   3.2   2.3 999.0 99.0 99.00
2006 04 25 10 00 305  5.8  6.9  0.33  4.55  3.71 999 1023.1   2.8   2.3 999.0 99.0 99.00
2006 04 25 11 00 316  4.1  4.6  0.37  2.70  3.25 999 1023.3   2.7   2.3 999.0 99.0 99.00
2006 04 25 12 00 346  4.8  5.4  0.34  2.78  3.11 999 1023.5   2.8   2.3 999.0 99.0 99.00
2006 04 25 13 00 344  3.7  4.4  0.31  2.70  3.09 999 1023.9   2.7   2.3 999.0 99.0 99.00
2006 04 25 14 00 342  3.4  4.3  0.30  2.70  3.17 999 1024.0   2.5   2.3 999.0 99.0 99.00
2006 04 25 15 00 326  2.0  2.2  0.32  3.03  3.10 999 1023.9   2.6   2.4 999.0 99.0 99.00
2006 04 25 16 00 257  1.9  2.1  0.28  3.03  3.13 999 1023.6   2.7   2.5 999.0 99.0 99.00
2006 04 25 17 00 228  4.0  4.5  0.25  3.03  3.19 999 1023.1   2.8   2.6 999.0 99.0 99.00
2006 04 25 18 00 212  5.8  6.4  0.21  2.78  3.27 999 1022.2   2.8   2.6 999.0 99.0 99.00
2006 04 25 19 00 206  7.1  8.8  0.23  2.78  3.14 999 1021.2   3.1   2.6 999.0 99.0 99.00
2006 04 25 20 00 210  8.3  9.9  0.46  2.78  2.87 999 1020.2   3.4   2.6 999.0 99.0 99.00
2006 04 25 21 00 208  8.1  9.4  0.58  3.23  3.16 999 1019.1   4.1   2.6 999.0 99.0 99.00
2006 04 25 22 00 208  7.7  8.9  0.71  3.70  3.38 999 1018.2   4.5   2.6 999.0 99.0 99.00
2006 04 25 23 00 210  6.6  7.4  0.70  3.85  3.48 999 1017.4   4.7   2.6 999.0 99.0 99.00
2006 04 26 00 00 215  6.1  6.9  0.57  3.70  3.40 999 1016.6   4.9   2.6 999.0 99.0 99.00
2006 04 26 01 00 220  5.9  6.7  0.51  3.45  3.27 999 1015.8   5.2   2.6 999.0 99.0 99.00
2006 04 26 02 00 235  5.9  6.5  0.44  3.33  3.15 999 1015.4   5.3   2.6 999.0 99.0 99.00
2006 04 26 03 00 242  6.4  7.0  0.37  3.13  3.05 999 1015.0   5.6   2.6 999.0 99.0 99.00
2006 04 26 04 00 248  8.2  9.3  0.42  2.94  2.98 999 1014.1   6.2   2.5 999.0 99.0 99.00
2006 04 26 05 00 253  8.5  9.7  0.72  4.17  3.45 999 1013.7   6.1   2.5 999.0 99.0 99.00
2006 04 26 06 00 260  8.6  9.5  0.75  4.17  3.52 999 1013.3   6.0   2.5 999.0 99.0 99.00
2006 04 26 07 00 263  8.7  9.8  0.83  4.00  3.60 999 1012.9   5.6   2.5 999.0 99.0 99.00
2006 04 26 08 00 264  9.2 10.4  0.91  4.00  3.70 999 1012.5   5.6   2.5 999.0 99.0 99.00
2006 04 26 09 00 258  9.9 11.3  1.03  4.55  3.79 999 1011.8   6.0   2.4 999.0 99.0 99.00
2006 04 26 10 00 257 10.0 11.5  1.14  4.55  3.93 999 1011.6   5.9   2.4 999.0 99.0 99.00
2006 04 26 11 00 257 10.3 12.0  1.21  4.55  3.99 999 1011.2   5.4   2.5 999.0 99.0 99.00
2006 04 26 12 00 258  9.7 11.3  1.21  4.76  4.04 999 1011.3   5.4   2.5 999.0 99.0 99.00
2006 04 26 13 00 261 10.4 11.9  1.27  5.00  4.14 999 1011.5   5.5   2.5 999.0 99.0 99.00
2006 04 26 14 00 266  9.4 10.9  1.28  5.00  4.27 999 1012.1   5.1   2.5 999.0 99.0 99.00
2006 04 26 15 00 263  8.2  9.6  1.21  5.26  4.18 999 1012.4   4.6   2.5 999.0 99.0 99.00
2006 04 26 16 00 264  7.0  8.0  1.17  5.26  4.21 999 1012.8   4.9   2.6 999.0 99.0 99.00
2006 04 26 17 00 258  6.0  6.8  0.99  5.26  4.18 999 1012.8   4.7   2.6 999.0 99.0 99.00
2006 04 26 18 00  54  4.7  6.3  0.84  4.76  4.11 999 1013.1   4.6   2.6 999.0 99.0 99.00
2006 04 26 19 00 114  5.7  7.0  0.73  4.76  4.10 999 1012.6   3.7   2.7 999.0 99.0 99.00
2006 04 26 20 00 107  5.5  6.1  0.58  5.00  3.93 999 1012.1   3.4   2.7 999.0 99.0 99.00
