#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 05 01 15 00 277  4.2  5.0  0.20  3.33  3.25 999 1010.7   3.1 999.0 999.0 99.0 99.00
2007 05 01 16 00 279  5.3  6.4  0.22  3.85  3.41 999 1011.2   2.7 999.0 999.0 99.0 99.00
2007 05 01 17 00 275  5.1  6.0  0.20  4.17  3.19 999 1011.9   2.5 999.0 999.0 99.0 99.00
2007 05 01 18 00 256  5.2  5.8  0.26  2.70  2.89 999 1012.4   2.9 999.0 999.0 99.0 99.00
2007 05 01 19 00 254  5.6  6.2  0.36  2.94  2.96 999 1012.7   3.7 999.0 999.0 99.0 99.00
2007 05 01 20 00 291  6.1  7.1  0.37  3.45  3.16 999 1013.1   5.0 999.0 999.0 99.0 99.00
2007 05 01 21 00 297  6.9  7.8  0.41  3.03  3.00 999 1013.9   5.6 999.0 999.0 99.0 99.00
2007 05 01 22 00 298  8.0  8.8  0.47  3.45  3.11 999 1014.5   5.0 999.0 999.0 99.0 99.00
2007 05 01 23 00 289  4.9  5.3  0.44  3.23  3.20 999 1015.4   4.6 999.0 999.0 99.0 99.00
2007 05 02 00 00 293  4.0  5.0  0.36  3.23  3.15 999 1015.9   6.3 999.0 999.0 99.0 99.00
2007 05 02 01 00 285  5.5  6.2  0.47  3.23  3.11 999 1016.4   4.6 999.0 999.0 99.0 99.00
2007 05 02 02 00 280  4.9  5.7  0.32  3.23  3.12 999 1017.0   4.0 999.0 999.0 99.0 99.00
2007 05 02 03 00 298  4.5  4.9  0.36  4.00  3.33 999 1017.7   4.1 999.0 999.0 99.0 99.00
2007 05 02 04 00 302  4.6  5.0  0.38  4.00  3.41 999 1017.9   4.2 999.0 999.0 99.0 99.00
2007 05 02 05 00 336  4.9  5.8  0.30  3.85  3.19 999 1018.3   6.0 999.0 999.0 99.0 99.00
2007 05 02 06 00 341  4.6  5.2  0.32  3.45  3.08 999 1018.9   4.1 999.0 999.0 99.0 99.00
2007 05 02 07 00 341  3.4  4.1  0.24  3.33  3.04 999 1019.8   3.7 999.0 999.0 99.0 99.00
2007 05 02 08 00  30  2.1  2.7  0.21  3.13  3.03 999 1020.6   3.9 999.0 999.0 99.0 99.00
2007 05 02 09 00  65  0.3  0.8  0.16  2.63  2.98 999 1021.6   3.5 999.0 999.0 99.0 99.00
2007 05 02 10 00   5  2.7  2.9  0.00  0.00  0.00 999 1022.3   4.2 999.0 999.0 99.0 99.00
2007 05 02 11 00  21  3.1  3.8  0.17  2.70  2.93 999 1023.1   3.1 999.0 999.0 99.0 99.00
