#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 03 01 00 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.4 999.0 99.0 99.00
2012 03 01 06 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.1 999.0 99.0 99.00
2012 03 01 12 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0  -0.2 999.0 99.0 99.00
2012 03 01 18 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.0 999.0 99.0 99.00
2012 03 02 00 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.2 999.0 99.0 99.00
2012 03 02 06 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.2 999.0 99.0 99.00
2012 03 02 12 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.1 999.0 99.0 99.00
2012 03 02 18 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.4 999.0 99.0 99.00
2012 03 03 00 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.4 999.0 99.0 99.00
2012 03 03 06 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0  -0.1 999.0 99.0 99.00
2012 03 03 12 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0  -0.2 999.0 99.0 99.00
2012 03 06 18 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0  -0.4 999.0 99.0 99.00
2012 03 07 00 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.2 999.0 99.0 99.00
2012 03 07 06 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0  -0.3 999.0 99.0 99.00
2012 03 07 18 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.9 999.0 99.0 99.00
2012 03 08 00 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.7 999.0 99.0 99.00
2012 03 08 06 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0  -0.4 999.0 99.0 99.00
2012 03 10 18 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   1.9 999.0 99.0 99.00
2012 03 11 00 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   3.2 999.0 99.0 99.00
2012 03 11 06 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   2.0 999.0 99.0 99.00
2012 03 11 12 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   1.1 999.0 99.0 99.00
2012 03 11 18 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   3.5 999.0 99.0 99.00
2012 03 12 00 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   3.9 999.0 99.0 99.00
2012 03 12 06 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   2.5 999.0 99.0 99.00
2012 03 12 12 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   2.2 999.0 99.0 99.00
2012 03 12 18 50  38  0.2  0.9  0.01 99.00  4.51 999 9999.0   2.9   2.1 999.0 99.0 99.00
2012 03 12 19 50 206  0.3  1.3  0.01 99.00  4.94 999 1003.0   2.6   2.3 999.0 99.0 99.00
2012 03 12 20 50 199  0.8  2.0  0.01 99.00  4.27 999 1002.7   3.0   2.3 999.0 99.0 99.00
2012 03 12 21 50 204  1.0  2.1  0.01 99.00  4.50 999 1003.0   3.0   2.5 999.0 99.0 99.00
2012 03 12 22 50 207  1.2  2.0  0.01 99.00  4.53 999 1003.1   3.5   2.6 999.0 99.0 99.00
2012 03 12 23 50 205  0.8  1.3  0.01 99.00  4.41 999 1003.5   4.0   2.6 999.0 99.0 99.00
2012 03 13 00 50 218  2.3  2.8  0.01 99.00  4.39 999 1003.7   4.5   2.8 999.0 99.0 99.00
2012 03 13 01 50 217  1.9  3.1  0.01 99.00  4.83 999 1004.0   4.9   3.2 999.0 99.0 99.00
